TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,IS_NULLABLE,COLUMN_TYPE,COLUMN_KEY,COLUMN_COMMENT
stk_data,asharedailybasic,trade_date,1,NO,varchar(255),PRI,交易日期
stk_data,asharedailybasic,stock_code,2,NO,varchar(255),PRI,股票代码
stk_data,asharedailybasic,turnover_rate,3,YES,"decimal(20,4)",,换手率(%)
stk_data,asharedailybasic,turnover_rate_f,4,YES,"decimal(20,4)",,换手率(自由流通股)
stk_data,asharedailybasic,volume_ratio,5,YES,"decimal(20,4)",,量比
stk_data,asharedailybasic,pe,6,YES,"decimal(20,4)",,市盈率(总市值/净利润， 亏损的PE为空)
stk_data,asharedailybasic,pe_ttm,7,YES,"decimal(20,4)",,"市盈率(TTM, 亏损的PE为空)"
stk_data,asharedailybasic,pb,8,YES,"decimal(20,4)",,市净率(总市值/净资产)
stk_data,asharedailybasic,ps,9,YES,"decimal(20,4)",,市销率
stk_data,asharedailybasic,ps_ttm,10,YES,"decimal(20,4)",,市销率(TTM)
stk_data,asharedailybasic,dv_ratio,11,YES,"decimal(20,4)",,股息率(%)
stk_data,asharedailybasic,dv_ttm,12,YES,"decimal(20,4)",,股息率(TTM)(%)
stk_data,asharedailybasic,total_share,13,YES,"decimal(20,4)",,总股本(万股)
stk_data,asharedailybasic,float_share,14,YES,"decimal(20,4)",,流通股本(万股)
stk_data,asharedailybasic,free_share,15,YES,"decimal(20,4)",,自由流通股本(万)
stk_data,asharedailybasic,total_mv,16,YES,"decimal(20,4)",,总市值(万元)
stk_data,asharedailybasic,circ_mv,17,YES,"decimal(20,4)",,流通市值(万元)
stk_data,asharestockbasic,stock_code,1,NO,varchar(255),PRI,股票代码
stk_data,asharestockbasic,name,2,YES,varchar(255),,股票名称
stk_data,asharestockbasic,area,3,YES,varchar(255),,地域
stk_data,asharestockbasic,market,4,YES,varchar(255),,市场类型(主板/创业板/科创板/CDR)
stk_data,asharestockbasic,exchange,5,YES,varchar(255),,交易所代码
stk_data,asharestockbasic,list_date,6,YES,varchar(255),,上市日期
stk_data,asharestockbasic,delist_date,7,YES,varchar(255),,退市日期
stk_data,asharetradecal,cal_date,1,NO,varchar(255),PRI,日历日期
stk_data,asharetradecal,is_open,2,YES,int,,是否交易
fut_data,futbasic,fut_code,1,NO,varchar(255),PRI,合约代码
fut_data,futbasic,exchange,2,YES,varchar(255),,交易所
fut_data,futbasic,name,3,YES,varchar(255),,合约名称
fut_data,futbasic,multiplier,4,YES,int,,合约乘数(只适用于国债期货、指数期货)
fut_data,futbasic,trade_unit,5,YES,varchar(255),,交易计量单位
fut_data,futbasic,per_unit,6,YES,int,,交易单位(每手)
fut_data,futbasic,quote_unit,7,YES,varchar(255),,报价单位
fut_data,futbasic,quote_unit_desc,8,YES,varchar(255),,最小报价单位说明
fut_data,futbasic,d_mode_desc,9,YES,varchar(255),,交割方式说明
fut_data,futbasic,list_date,10,YES,varchar(255),,上市日期
fut_data,futbasic,delist_date,11,YES,varchar(255),,最后交易日期
fut_data,futbasic,d_month,12,YES,varchar(255),,交割月份
fut_data,futbasic,last_ddate,13,YES,varchar(255),,最后交割日
fut_data,futbasic,is_after_hours_trading,14,YES,varchar(255),,夜盘是否交易
fut_data,futholdingcffex,trade_date,1,NO,varchar(255),PRI,交易日期
fut_data,futholdingcffex,symbol,2,NO,varchar(255),PRI,合约品种
fut_data,futholdingcffex,broker,3,NO,varchar(255),PRI,期货公司会员简称
fut_data,futholdingcffex,vol,4,YES,"decimal(20,4)",,成交量
fut_data,futholdingcffex,long_hld,5,YES,"decimal(20,4)",,持买仓量
fut_data,futholdingcffex,short_hld,6,YES,"decimal(20,4)",,持卖仓量
fut_data,futholdingczce,trade_date,1,NO,varchar(255),PRI,交易日期
fut_data,futholdingczce,symbol,2,NO,varchar(255),PRI,合约品种
fut_data,futholdingczce,broker,3,NO,varchar(255),PRI,期货公司会员简称
fut_data,futholdingczce,vol,4,YES,"decimal(20,4)",,成交量
fut_data,futholdingczce,long_hld,5,YES,"decimal(20,4)",,持买仓量
fut_data,futholdingczce,short_hld,6,YES,"decimal(20,4)",,持卖仓量
fut_data,futholdingdce,trade_date,1,NO,varchar(255),PRI,交易日期
fut_data,futholdingdce,symbol,2,NO,varchar(255),PRI,合约品种
fut_data,futholdingdce,broker,3,NO,varchar(255),PRI,期货公司会员简称
fut_data,futholdingdce,vol,4,YES,"decimal(20,4)",,成交量
fut_data,futholdingdce,long_hld,5,YES,"decimal(20,4)",,持买仓量
fut_data,futholdingdce,short_hld,6,YES,"decimal(20,4)",,持卖仓量
fut_data,futholdingshfe,trade_date,1,NO,varchar(255),PRI,交易日期
fut_data,futholdingshfe,symbol,2,NO,varchar(255),PRI,合约品种
fut_data,futholdingshfe,broker,3,NO,varchar(255),PRI,期货公司会员简称
fut_data,futholdingshfe,vol,4,YES,"decimal(20,4)",,成交量
fut_data,futholdingshfe,long_hld,5,YES,"decimal(20,4)",,持买仓量
fut_data,futholdingshfe,short_hld,6,YES,"decimal(20,4)",,持卖仓量
fut_data,futwsr,trade_date,1,NO,varchar(255),PRI,交易日期
fut_data,futwsr,symbol,2,NO,varchar(255),PRI,合约品种
fut_data,futwsr,exchange,3,YES,varchar(255),,交易所
fut_data,futwsr,warehouse,4,NO,varchar(255),PRI,仓库名称
fut_data,futwsr,vol,5,YES,"decimal(20,4)",,今日仓单量
fut_data,futwsr,pre_vol,6,YES,"decimal(20,4)",,昨日仓单量
fut_data,futwsr,area,7,YES,varchar(255),,地区
fut_data,futwsr,year,8,YES,varchar(255),,年度
fut_data,futwsr,unit,9,YES,varchar(255),,单位
stk_data,ashareincome,stock_code,1,NO,varchar(255),PRI,股票代码
stk_data,ashareincome,ann_date,2,YES,varchar(255),,公告日期
stk_data,ashareincome,end_date,3,NO,varchar(255),PRI,报告期
stk_data,ashareincome,comp_type,4,YES,smallint,,公司类型(1一般工商业2银行3保险4证券)
stk_data,ashareincome,end_type,5,YES,smallint,,报告期类型
stk_data,ashareincome,basic_eps,6,YES,"decimal(20,4)",,基本每股收益
stk_data,ashareincome,diluted_eps,7,YES,"decimal(20,4)",,稀释每股收益
stk_data,ashareincome,total_revenue,8,YES,"decimal(20,4)",,营业总收入
stk_data,ashareincome,revenue,9,YES,"decimal(20,4)",,营业收入
stk_data,ashareincome,int_income,10,YES,"decimal(20,4)",,利息收入
stk_data,ashareincome,prem_earned,11,YES,"decimal(20,4)",,已赚保费
stk_data,ashareincome,comm_income,12,YES,"decimal(20,4)",,手续费及佣金收入
stk_data,ashareincome,n_commis_income,13,YES,"decimal(20,4)",,手续费及佣金净收入
stk_data,ashareincome,n_oth_income,14,YES,"decimal(20,4)",,其他经营净收益
stk_data,ashareincome,n_oth_b_income,15,YES,"decimal(20,4)",,加:其他业务净收益
stk_data,ashareincome,prem_income,16,YES,"decimal(20,4)",,保险业务收入
stk_data,ashareincome,out_prem,17,YES,"decimal(20,4)",,减:分出保费
stk_data,ashareincome,une_prem_reser,18,YES,"decimal(20,4)",,提取未到期责任准备金
stk_data,ashareincome,reins_income,19,YES,"decimal(20,4)",,其中:分保费收入
stk_data,ashareincome,n_sec_tb_income,20,YES,"decimal(20,4)",,代理买卖证券业务净收入
stk_data,ashareincome,n_sec_uw_income,21,YES,"decimal(20,4)",,证券承销业务净收入
stk_data,ashareincome,n_asset_mg_income,22,YES,"decimal(20,4)",,受托客户资产管理业务净收入
stk_data,ashareincome,oth_b_income,23,YES,"decimal(20,4)",,其他业务收入
stk_data,ashareincome,fv_value_chg_gain,24,YES,"decimal(20,4)",,加:公允价值变动净收益
stk_data,ashareincome,invest_income,25,YES,"decimal(20,4)",,加:投资净收益
stk_data,ashareincome,ass_invest_income,26,YES,"decimal(20,4)",,其中:对联营企业和合营企业的投资收益
stk_data,ashareincome,forex_gain,27,YES,"decimal(20,4)",,加:汇兑净收益
stk_data,ashareincome,total_cogs,28,YES,"decimal(20,4)",,营业总成本
stk_data,ashareincome,oper_cost,29,YES,"decimal(20,4)",,减:营业成本
stk_data,ashareincome,int_exp,30,YES,"decimal(20,4)",,减:利息支出
stk_data,ashareincome,comm_exp,31,YES,"decimal(20,4)",,减:手续费及佣金支出
stk_data,ashareincome,biz_tax_surchg,32,YES,"decimal(20,4)",,减:营业税金及附加
stk_data,ashareincome,sell_exp,33,YES,"decimal(20,4)",,减:销售费用
stk_data,ashareincome,admin_exp,34,YES,"decimal(20,4)",,减:管理费用
stk_data,ashareincome,fin_exp,35,YES,"decimal(20,4)",,减:财务费用
stk_data,ashareincome,assets_impair_loss,36,YES,"decimal(20,4)",,减:资产减值损失
stk_data,ashareincome,prem_refund,37,YES,"decimal(20,4)",,退保金
stk_data,ashareincome,compens_payout,38,YES,"decimal(20,4)",,赔付总支出
stk_data,ashareincome,reser_insur_liab,39,YES,"decimal(20,4)",,提取保险责任准备金
stk_data,ashareincome,div_payt,40,YES,"decimal(20,4)",,保户红利支出
stk_data,ashareincome,reins_exp,41,YES,"decimal(20,4)",,分保费用
stk_data,ashareincome,oper_exp,42,YES,"decimal(20,4)",,营业支出
stk_data,ashareincome,compens_payout_refu,43,YES,"decimal(20,4)",,减:摊回赔付支出
stk_data,ashareincome,insur_reser_refu,44,YES,"decimal(20,4)",,减:摊回保险责任准备金
stk_data,ashareincome,reins_cost_refund,45,YES,"decimal(20,4)",,减:摊回分保费用
stk_data,ashareincome,other_bus_cost,46,YES,"decimal(20,4)",,其他业务成本
stk_data,ashareincome,operate_profit,47,YES,"decimal(20,4)",,营业利润
stk_data,ashareincome,non_oper_income,48,YES,"decimal(20,4)",,加:营业外收入
stk_data,ashareincome,non_oper_exp,49,YES,"decimal(20,4)",,减:营业外支出
stk_data,ashareincome,nca_disploss,50,YES,"decimal(20,4)",,其中:减:非流动资产处置净损失
stk_data,ashareincome,total_profit,51,YES,"decimal(20,4)",,利润总额
stk_data,ashareincome,income_tax,52,YES,"decimal(20,4)",,所得税费用
stk_data,ashareincome,n_income,53,YES,"decimal(20,4)",,净利润(含少数股东损益)
stk_data,ashareincome,n_income_attr_p,54,YES,"decimal(20,4)",,净利润(不含少数股东损益)
stk_data,ashareincome,minority_gain,55,YES,"decimal(20,4)",,少数股东损益
stk_data,ashareincome,oth_compr_income,56,YES,"decimal(20,4)",,其他综合收益
stk_data,ashareincome,t_compr_income,57,YES,"decimal(20,4)",,综合收益总额
stk_data,ashareincome,compr_inc_attr_p,58,YES,"decimal(20,4)",,归属于母公司(或股东)的综合收益总额
stk_data,ashareincome,compr_inc_attr_m_s,59,YES,"decimal(20,4)",,归属于少数股东的综合收益总额
stk_data,ashareincome,ebit,60,YES,"decimal(20,4)",,息税前利润
stk_data,ashareincome,ebitda,61,YES,"decimal(20,4)",,息税折旧摊销前利润
stk_data,ashareincome,insurance_exp,62,YES,"decimal(20,4)",,保险业务支出
stk_data,ashareincome,undist_profit,63,YES,"decimal(20,4)",,年初未分配利润
stk_data,ashareincome,distable_profit,64,YES,"decimal(20,4)",,可分配利润
stk_data,ashareincome,rd_exp,65,YES,"decimal(20,4)",,研发费用
stk_data,ashareincome,fin_exp_int_exp,66,YES,"decimal(20,4)",,财务费用:利息费用
stk_data,ashareincome,fin_exp_int_inc,67,YES,"decimal(20,4)",,财务费用:利息收入
stk_data,ashareincome,transfer_surplus_rese,68,YES,"decimal(20,4)",,盈余公积转入
stk_data,ashareincome,transfer_housing_imprest,69,YES,"decimal(20,4)",,住房周转金转入
stk_data,ashareincome,transfer_oth,70,YES,"decimal(20,4)",,其他转入
stk_data,ashareincome,adj_lossgain,71,YES,"decimal(20,4)",,调整以前年度损益
stk_data,ashareincome,withdra_legal_surplus,72,YES,"decimal(20,4)",,提取法定盈余公积
stk_data,ashareincome,withdra_legal_pubfund,73,YES,"decimal(20,4)",,提取法定公益金
stk_data,ashareincome,withdra_biz_devfund,74,YES,"decimal(20,4)",,提取企业发展基金
stk_data,ashareincome,withdra_rese_fund,75,YES,"decimal(20,4)",,提取储备基金
stk_data,ashareincome,withdra_oth_ersu,76,YES,"decimal(20,4)",,提取任意盈余公积金
stk_data,ashareincome,workers_welfare,77,YES,"decimal(20,4)",,职工奖金福利
stk_data,ashareincome,distr_profit_shrhder,78,YES,"decimal(20,4)",,可供股东分配的利润
stk_data,ashareincome,prfshare_payable_dvd,79,YES,"decimal(20,4)",,应付优先股股利
stk_data,ashareincome,comshare_payable_dvd,80,YES,"decimal(20,4)",,应付普通股股利
